id,name,description
904,"Octinoxate, octisalate, and zinc oxide",Unspecified dislocation of left ring finger
905,clopidogrel bisulfate,"Traumatic cerebral edema with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving, initial encounter"
906,Sulfur,Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene
907,Stannous Fluoride,10 weeks gestation of pregnancy
908,Chlorpromazine Hydrochloride,"Contact with transmission devices, not elsewhere classified, subsequent encounter"
909,Tamoxifen Citrate,Encounter for screening for malignant neoplasm of nervous system
910,Docusate Sodium,"Unspecified fracture of upper end of left tibia, initial encounter for closed fracture"
911,Methylphenidate Hydrochloride,"Displaced longitudinal fracture of unspecified patella, initial encounter for closed fracture"
912,"GELSEMIUM,ECHINACEA,BAPTISIA PHYTOLACCA DECANDRA,TINCTORIA,ARSENICUM ALBUM,IRIDIUM,MERCURIUS CORROSIVUS,EUPATORIUM PERFOLIATUM,BRYONIA,FERRUM PHOSPHORICUM,","Toxic effect of fiberglass, intentional self-harm"
913,Acetagesic,"Nondisplaced fracture of neck of scapula, left shoulder, subsequent encounter for fracture with delayed healing"
914,WITCH HAZEL,Phlebitis and thrombophlebitis of other deep vessels of unspecified lower extremity
915,ETHYL ALCOHOL,Postprocedural hypertension
916,"Loratadine, Pseudoephedrine","External constriction of right hand, sequela"
917,"Aluminum hydroxide, Magnesium hydroxide, Simethicone","Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
918,magnesium hydroxide,"Nondisplaced fracture of distal phalanx of left great toe, subsequent encounter for fracture with nonunion"
919,Furosemide,Intentional self-harm by electrocution
920,Benazepril hydrochloride and hydrochlorothiazide,"Other specified arthritis, right elbow"
921,Zinc gluconate,"Traumatic hemothorax, sequela"
922,Sodium Fluoride,Fracture (avulsion) of lateral epicondyle of humerus
923,Ibuprofen,Nondisplaced transcondylar fracture of left humerus
924,Loratadine and Pseudoephedrine Sulfate,"Laceration of superficial palmar arch of right hand, initial encounter"
925,ETHYL ALCOHOL,"Other sprain of unspecified elbow, subsequent encounter"
926,PINE NEEDLE OIL (PINUS MUGO),"Burn of first degree of unspecified site of right lower limb, except ankle and foot, subsequent encounter"
927,"Agaricus musc., Arsenicum alb., Aur. met, Berber. aqui., Caladium seguinum, Candida albicans, Cantharis, Conium, Graphites, Helonias dioica, Hydrastis, Kali carb., Kreosotum, Lycopodium, Merc. viv., Murex purpurea, Nat. mur, Nitricum ac., Pulsatilla, Rhus toxicodendron, Sepia, Sulphur, Tarentula hispana, Thuja occ., Zinc. met., Apis mel, Hamamelis","Injury to barefoot water-skier, sequela"
928,Carpellum Mali Comp.,"Poisoning by other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, intentional self-harm"
929,"acetaminophen, dextromethorphan hydrobromide, guaifenesin, and phenylephrine hydrochloride","Unspecified fracture of left pubis, subsequent encounter for fracture with nonunion"
930,Carbon Dioxide-Oxygen-Nitrogen Mixture,"Salter-Harris Type III physeal fracture of lower end of ulna, left arm"
931,Phentermine Hydrochloride,"Puncture wound with foreign body of lip, sequela"
932,Venlafaxine,"Poisoning by other nonopioid analgesics and antipyretics, not elsewhere classified, accidental (unintentional), sequela"
933,Guaifenesin,"Unspecified injury of other flexor muscle, fascia and tendon at forearm level"
934,BENZALKONIUM CHLORIDE,"Salter-Harris Type II physeal fracture of lower end of left tibia, sequela"
935,Loratadine,"Torus fracture of lower end of unspecified fibula, sequela"
936,Titanium Dioxide,External constriction of right elbow
937,MENTHOL,"Infection and inflammatory reaction due to internal fixation device of spine, sequela"
938,Glipizide and Metformin HCl,Dengue hemorrhagic fever
939,Triclosan,Deficiency of vitamin K
940,Loratadine and Pseudoephedrine Sulfate,"Unspecified fracture of third lumbar vertebra, subsequent encounter for fracture with delayed healing"
941,"Chelidonium Majus, Spongia Tosta, Iodium, Fucus Vesiculosus, Germanium Sesquioxide, Thyroidinum, Calcarea Carbonica","Conjoined twin pregnancy, third trimester"
942,Hackberry Celtis occidentalis,"Nondisplaced fracture of medial phalanx of left middle finger, subsequent encounter for fracture with nonunion"
943,Homeopathic Liquid,"Circadian rhythm sleep disorder, unspecified type"
944,CEPHALEXIN,"Corrosion of first degree of multiple sites of left lower limb, except ankle and foot, subsequent encounter"
945,Naproxen,"Puncture wound with foreign body of left little finger without damage to nail, subsequent encounter"
946,Nizatidine,Diabetes mellitus due to underlying condition with other skin complications
947,medroxyprogesterone acetate,"Idiopathic chronic gout, right elbow"
948,"CALCIUM PHOSPHATE, IRON, POTASSIUM PHOSPHATE, UNSPECIFIED FORM, MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE, and SODIUM PHOSPHATE",Ankylosing spondylitis of thoracolumbar region
949,Estradiol Transdermal System,Laceration of bladder
950,SALICYLIC ACID,Personal history of diseases of genitourinary system
951,Naproxen,"Other specified crystal arthropathies, unspecified elbow"
952,"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE, OCTINOXATE",Chediak-Higashi syndrome
953,OCTINOXATE and TITANIUM DIOXIDE,"Other myositis, right thigh"
954,"Baptisia tinctoria, Condurango, Echinacea (angustifolia), Hydrastis canadensis, Nasturtium aquaticum, OSHA, Phytolacca decandra, Tabebuia impetiginosa, Astragalus menziesii,","Nondisplaced spiral fracture of shaft of humerus, right arm, sequela"
955,"Aletris, Apocynum, Cinchona, Cinnamomum, Conium, Helonias dioica, Lilium, Millefolium, Phosphorus, Secale, Thlaspi, Trillium pendulum, Apis mel., Hamamelis, Hydrastis","Lymphoid leukemia, unspecified, in remission"
956,Ofloxacin,"Congenital absence of both forearm and hand, bilateral"
957,"dimethicone, octinoxate, octisalate, oxybenzone",Injury of other blood vessels of thorax
958,Simvastatin,"Nondisplaced transverse fracture of shaft of left ulna, initial encounter for closed fracture"
959,Glyburide,"Open bite of nose, subsequent encounter"
960,warfarin sodium,"Subperiosteal abscess of mastoid, right ear"
961,misoprostol,"Car passenger injured in collision with fixed or stationary object in traffic accident, sequela"
962,Methylphenidate hydrochloride,Calculus of bile duct with acute and chronic cholangitis with obstruction
963,CEFACLOR,"Other specified injury of extensor muscle, fascia and tendon of unspecified thumb at wrist and hand level, subsequent encounter"
964,"Allium sativum, Berberis vulgaris, Glycyrrhiza glabra, Lappa major, Phytolacca Decandra, Rahmnus frangula, Stillingia sylvatica,","Displaced fracture of shaft of left clavicle, subsequent encounter for fracture with routine healing"
965,Warfarin Sodium,"Nondisplaced fracture of trapezoid [smaller multangular], left wrist, subsequent encounter for fracture with routine healing"
966,Terazosin Hydrochloride,"Unspecified fracture of upper end of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
967,"Escherichia coli, Proteus vulgaris, and Streptococcin","Gestational edema, complicating childbirth"
968,ACONITUM NAPELLUS and BRYONIA ALBA ROOT and PHOSPHORUS,"Poisoning by therapeutic gases, assault"
969,nitroglycerin,"Salter-Harris Type II physeal fracture of upper end of radius, right arm, sequela"
970,"OCTINOXATE, OXYBENZONE","Fracture of malar, maxillary and zygoma bones, unspecified"
971,"Acetaminophen, Caffeine","Open bite, left thigh, sequela"
972,Smooth Brome Grass,"Exposure to reduction in atmospheric pressure while surfacing from deep-water diving, initial encounter"
973,clonidine hydrochloride,Partial loss of teeth
974,POTASSIUM CHLORIDE,"Other injury of unspecified muscle(s) and tendon(s) at lower leg level, right leg, sequela"
975,Acetaminophen,"Other fracture of T11-T12 vertebra, subsequent encounter for fracture with routine healing"
976,CARVEDILOL,Infection of bladder following delivery
977,tacrolimus,Malignant neoplasm of pyriform sinus
978,Simethicone,Burn due to localized fire on board fishing boat
979,Alcohol,"Pathological fracture, left radius, sequela"
980,"octinoxate, octisalate","Osteitis condensans, ankle and foot"
981,Doxycycline tablets and NicAzelFORTE tablets,Displaced fracture of proximal phalanx of left thumb
982,Nifedipine,"Unspecified fracture of left acetabulum, sequela"
983,Hydrogen Peroxide,"Fracture of other parts of pelvis, sequela"
984,"TITANIUM DIOXIDE, OCTINOXATE",Maternal care for excessive fetal growth
985,nystatin,Diabetes mellitus due to underlying condition with hypoglycemia
986,Triclosan,"Other specified injury of intrinsic muscle, fascia and tendon of left thumb at wrist and hand level, initial encounter"
987,Fenofibrate,"Solitary bone cyst, left humerus"
988,OCTREOTIDE ACETATE,"Nondisplaced transverse fracture of shaft of unspecified femur, initial encounter for open fracture type I or II"
989,Thuja Occidentalis,"Other physeal fracture of right calcaneus, subsequent encounter for fracture with delayed healing"
990,Salicylic Acid and Benzoyl Peroxide,Malignant neoplasm of descended right testis
991,Chlordiazepoxide Hydrochloride,"Myopia, bilateral"
992,"Avobenzone, Octocrylene","Unspecified fracture of right lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
993,Meloxicam,Open bite of nose
994,Smooth Brome,"Nondisplaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with malunion"
995,"zinc oxide, oxybenzone, and octinoxate","Assault by drowning and submersion after push into swimming pool, initial encounter"
996,"Acetaminophen, Phenylephrine HCl, Dextromethorphan HBr and Guiafenesin","Poisoning by other psychodysleptics [hallucinogens], intentional self-harm, subsequent encounter"
997,Risperidone,Atherosclerosis of nonbiological bypass graft(s) of the extremities with gangrene
998,"Anacardium Orientale, Avena Sativa, Aurum Metallicum, Calcarea Carbonica, Cimicifuga Racemosa, Cinchona Officinalis, Hypericum Perforatum, Ignatia Amara, Kali Bromatum, Natrum Carbonicum, Natrum Sulphuricum, Phosphoricum Acidum, Phosphorus, Pulsatilla, Sepia, Tabacum","Gonococcal infection, unspecified"
999,Pyrithione Zinc,Other edema specific to newborn
1000,Levothyroxine Sodium,"Type I occipital condyle fracture, right side, sequela"
